=== Episode 1 ===
Initial: [  0.   0. -20.]
Goal: [-17.84715925 -11.18560509 -49.12206317]
Positions:
[  0.06972387   0.06320564 -19.92193471]
[-12.89406715  -2.4816167  -47.34134535]
[-12.95775427  -2.4627674  -47.36429343]
[-12.97125699  -2.45102219 -47.31069228]
[-13.00768018  -2.46252995 -47.30778677]
[-13.01820543  -2.41944344 -47.30967983]
[-13.04128677  -2.42798717 -47.28906205]
[-13.07606323  -2.39555532 -47.27451085]
[-13.10017694  -2.39046881 -47.2653053 ]
[-13.14242215  -2.42588878 -47.25433369]
[-13.16881005  -2.41840882 -47.18121426]
[-13.146787    -2.38481536 -47.18268864]
[-13.20006181  -2.42506461 -47.13024895]
[-13.20187481  -2.41167784 -47.08466304]
[-13.22816974  -2.42207241 -47.04644792]
[-13.27876904  -2.43702857 -46.9768254 ]
[-13.30474146  -2.45442663 -46.9373545 ]
[-13.29632623  -2.4694451  -46.88160704]
[-13.33701914  -2.49509738 -46.85258976]
[-13.36915765  -2.48050663 -46.82767798]
[-13.37867476  -2.5256575  -46.7845255 ]
[-13.41284847  -2.51776554 -46.75320702]
[-13.46604845  -2.55368929 -46.75206141]
[-13.48456393  -2.56403282 -46.72867576]
[-13.52378986  -2.53489831 -46.75085427]
[-13.59901971  -2.53638954 -46.74303341]
[-13.65375693  -2.53490585 -46.75992903]
[-13.74391969  -2.50663324 -46.80791897]
[-13.8038318   -2.49365624 -46.84423791]
[-13.82379597  -2.49969884 -46.85484829]
[-13.9131674   -2.49270042 -46.91207181]
[-13.98766987  -2.46131087 -46.95970018]
[-14.05573301  -2.47593574 -46.98503983]
[-14.08842902  -2.44817215 -47.00729197]
[-14.14881347  -2.42176479 -47.08053381]
[-14.20807952  -2.40217352 -47.12110092]
[-14.28235187  -2.39032989 -47.15054706]
[-14.33436578  -2.37771864 -47.20140854]
[-14.39323551  -2.32999974 -47.23914992]
[-14.44128305  -2.31550218 -47.2764386 ]
[-14.5007571   -2.32556079 -47.34953268]
[-14.53722447  -2.26582956 -47.36493861]
[-14.61193433  -2.27013096 -47.42613551]
[-14.63852746  -2.21421481 -47.46386322]
[-14.69485541  -2.20020949 -47.5162468 ]
[-14.7440234   -2.19118847 -47.57937723]
[-14.79984627  -2.15245202 -47.61243076]
[-14.82028914  -2.11054527 -47.68750847]
[-14.90425946  -2.05359728 -47.70255048]
[-14.9292751   -2.00599264 -47.79226151]
[-14.99885157  -1.9681682  -47.82880973]
[-15.02799369  -1.96078486 -47.88786321]
[-15.08857463  -1.90921747 -47.95035199]
[-15.12188634  -1.85735329 -48.00283507]
[-15.17170453  -1.83320936 -48.03870647]
[-15.23278116  -1.793388   -48.0901654 ]
[-15.27082433  -1.74043058 -48.13832416]
[-15.31887126  -1.69710185 -48.2127751 ]
[-15.37386298  -1.62533079 -48.23705309]
[-15.41913146  -1.59841502 -48.32577759]
[-15.46889259  -1.56523539 -48.36474109]
[-15.50538666  -1.50125921 -48.39465391]
[-15.57125932  -1.4829222  -48.47994637]
[-15.62495095  -1.40796596 -48.51836162]
[-15.6730416   -1.39493959 -48.58732993]
[-15.71975593  -1.30838285 -48.66125038]
[-15.73044254  -1.27302068 -48.67477597]
[-15.79505545  -1.24964885 -48.7476605 ]
[-15.8005572   -1.19893182 -48.78055173]
[-15.87629152  -1.15036683 -48.82399914]
[-15.90548202  -1.10922208 -48.90665822]
[-15.94731242  -1.03214782 -48.93332531]
